Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2015,2,Sants-Montjuic,la Font de la Guatlla,687.33,10.63
2015,2,Sants-Montjuic,Hostafrancs,601.6,10.91
2015,2,Sants-Montjuic,la Bordeta,607.68,9.51
2015,2,Sants-Montjuic,Sants - Badal,606.78,10.85
2015,2,Sants-Montjuic,Sants,627.86,11.1
2015,2,Les Corts,les Corts,817.24,11.91
2015,2,Les Corts,la Maternitat i Sant Ramon,679.54,10.76
2015,2,Les Corts,Pedralbes,1711.45,12.73
2015,2,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",824.38,9.11
2015,2,Sarria-Sant Gervasi,Sarria,1101.15,14.38
2015,2,Sarria-Sant Gervasi,les Tres Torres,1337.79,13.44
2015,2,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,1056.07,12.6
2015,2,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1095.7,12.55
2015,2,Sarria-Sant Gervasi,el Putxet i el Farro,790.21,12.84
2015,2,Gracia,Vallcarca i els Penitents,712.75,11.28
2015,2,Gracia,el Coll,539.58,9.7
2015,2,Gracia,la Salut,637.81,11.56
2015,2,Gracia,la Vila de Gracia,726.61,12.47
2015,2,Gracia,el Camp d'en Grassot i Gracia Nova,712.64,10.91
2015,2,Horta-Guinardo,el Baix Guinardo,631.05,10.18
2015,2,Horta-Guinardo,Can Baro,539.56,9.94
2015,2,Horta-Guinardo,el Guinardo,596.15,10.19
2015,2,Horta-Guinardo,la Font d'en Fargues,749.23,10.31
2015,2,Horta-Guinardo,el Carmel,504.61,9.19
2015,2,Horta-Guinardo,la Teixonera,547.25,11.15
2015,2,Horta-Guinardo,Sant Genis dels Agudells,558.49,8.14
2015,2,Horta-Guinardo,Montbau,621.76,9.73
2015,2,Horta-Guinardo,la Vall d'Hebron,701.43,9.89
2015,2,Horta-Guinardo,Horta,568.31,9.6
2015,2,Nou Barris,Vilapicina i la Torre Llobeta,583.05,9.07
2015,2,Nou Barris,Porta,556.5,9.01
2015,2,Nou Barris,el Turo de la Peira,485.4,8.16
2015,2,Nou Barris,la Guineueta,562.45,8.1
2015,2,Nou Barris,Canyelles,575.83,7.23
2015,2,Nou Barris,les Roquetes,466.89,8.83
2015,2,Nou Barris,Verdun,419.79,7.78
2015,2,Nou Barris,la Prosperitat,531.27,9.85
2015,2,Nou Barris,la Trinitat Nova,456.71,9.33
2015,2,Nou Barris,Torre Baro,420.63,7.31
2015,2,Nou Barris,Ciutat Meridiana,399.19,6.71
2015,2,Nou Barris,Vallbona,450.0,5.86
2015,2,Sant Andreu,la Trinitat Vella,464.95,8.43
2015,2,Sant Andreu,Baro de Viver,362.94,5.58
2015,2,Sant Andreu,el Bon Pastor,526.12,8.68
2015,2,Sant Andreu,Sant Andreu,609.55,10.1
2015,2,Sant Andreu,la Sagrera,608.62,9.59
2015,2,Sant Andreu,el Congres i els Indians,594.29,9.65
2015,2,Sant Andreu,Navas,650.76,9.57
2015,2,Sant Marti,el Camp de l'Arpa del Clot,624.24,10.6
2015,2,Sant Marti,el Clot,636.97,10.53
2015,2,Sant Marti,el Parc i la Llacuna del Poblenou,755.44,12.01
2015,2,Sant Marti,la Vila Olimpica del Poblenou,1116.3,14.82
